,Alexandra,Balclutha,Blenheim,Christchurch,Dunedin,Franz Josef,Greymouth,Invercargill,Milford,Nelson,Queenstown,Te Anau,Timaru
Alexandra,0,100,485,284,126,233,347,138,248,563,56,173,197
Balclutha,100,0,478,276,50,493,402,89,213,537,156,138,177
Blenheim,485,478,0,201,427,327,214,567,691,73,494,615,300
Christchurch,284,276,201,0,226,247,158,365,489,267,305,414,99
Dunedin,126,50,427,226,0,354,352,139,263,493,192,188,127
Franz Josef,233,493,327,247,354,0,114,380,416,300,228,366,313
Greymouth,347,402,214,158,352,114,0,493,555,187,341,480,225
Invercargill,138,89,567,365,139,380,493,0,174,632,118,99,266
Milford,248,213,691,489,263,416,555,174,0,756,178,75,377
Nelson,563,537,73,267,493,300,187,632,756,0,572,681,366
Queenstown,56,156,494,305,192,228,341,118,178,572,0,117,230
Te Anau,173,138,615,414,188,366,480,99,75,681,117,0,315
Timaru,197,177,300,99,127,313,225,266,377,366,230,315,0
